"Y"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"
1	13.18	19.35	7.65	8.61	66.49	70.86	79.59	6.27	1016.28	0.33	4.67	3.88	11.36	21.35	27.41	17.68	18.45	83.79	73.77	88.05	7.8	1008.22	114.19	6.13	4.25	9.28	22.9733333333333	14.3433333333333	75.7766666666667	64.0666666666667	0.52	1013.09333333333	23.4533333333333	14.4333333333333	68.69	55.3	0.17	1013.78666666667	28.86	17.9	41.555	36.715	-0.05	1010.385	26.284	21.098	85.45	78.126	255.85	1010.298
1	14.38	20.04	9.53	9.92	69.47	71.85	81.89	5.56	1015.95	0.37	4.88	4.19	11.55	21.95	27.95	18.36	19.21	83.99	76.46	89.27	7.87	1007.73	137.54	6.08	4.3	8.88	23.23	15.2966666666667	77.8333333333333	66.2733333333333	0.41	1012.67333333333	24.05	15.53	69.2566666666667	57.32	0.58	1013.08333333333	29.91	18.57	41.645	38.06	-0.12	1009.97	26.964	21.906	86.112	79.628	285.65	1009.988
0	13.76	21.71	6.58	8.85	74.51	60.3	85.83	7.28	1014.44	0.65	3.75	3.44	11.07	25.27	32.68	18.59	17.26	68.35	48.87	86.51	8.65	1007.34	22.53	4.43	3.74	12.51	20.7366666666667	13.36	80.1966666666667	68.22	-1.43	1017.17	23.52	14.81	76.8666666666667	57.2633333333333	2.66	1012.57333333333	25.795	16.81	69.33	52.86	3.41	1012.8	31.064	24.048	86.916	71.568	201.12	1006.978
0	11.92	18.24	6.62	8.29	78.78	61.97	90.61	8.68	1017.47	16.67	3.91	4.15	6.26	22.09	27.4	16.92	18.34	79.57	68.38	85.88	8.72	1010.33	67.99	6.19	4.25	11.11	20.06	12.2466666666667	80.4066666666667	69.9266666666667	1.98	1016.52333333333	25.42	16.4133333333333	68.2033333333333	55.7466666666667	0.94	1014.33333333333	27.765	20.005	71.845	64.56	8.33	1009.61	27.082	22.234	88.56	81.21	257.18	1011.312
1	9.73	17.88	3.09	3.56	68.06	55.53	84.16	6.19	1021.19	0	3.67	4.62	13.54	23.98	28.03	19.78	18.52	83.23	70.7	86.2	7.68	1010.35	39.28	5.73	4.51	11.7	23.1233333333333	15.1833333333333	76.0733333333333	67.76	1.57	1015.43	23.76	14.78	70.76	57.49	0.94	1014.45333333333	23.79	14.73	49.75	44.48	2.81	1019.56	27.936	21.942	88.6	81.088	149.76	1009.968
0	13.84	21.03	8.45	10.5	80.87	73.27	91.91	7.28	1012.39	2.11	4.3	4.51	10.64	23.53	30.37	17.71	14.87	66.24	56.1	79.67	12.77	1008.1	23.78	4.92	3.92	12.61	21.0466666666667	13.0133333333333	75.16	61.4033333333333	8.16	1015.48333333333	22.0433333333333	14.5533333333333	72.85	60.4766666666667	0.99	1015.65	29.725	22.405	59.33	48.895	0.09	1008.515	29.612	23.578	82.37	72.068	191.6	1008.562
0	13.76	21.71	6.58	8.85	74.51	60.3	85.83	7.28	1014.44	0.65	3.75	3.44	11.07	22.94	29.19	17.33	15.4	72.02	58.13	85.31	8.81	1010.2	40.89	5.36	3.56	10.4	20.7366666666667	13.36	80.1966666666667	68.22	-1.43	1017.17	23.52	14.81	76.8666666666667	57.2633333333333	2.66	1012.57333333333	25.795	16.81	69.33	52.86	3.41	1012.8	27.402	20.7	82.982	78.372	145.68	1010.934
0	9.53	16.44	2.94	5.48	77.56	66.1	94.91	7.82	1020.43	25.95	5.4	4.45	5.49	21.67	27.22	17.21	14.81	64.72	56.21	82.05	16.65	1013.56	22.01	2.79	3.31	11.95	19.8333333333333	12.09	85.9	73.2066666666667	5.78	1016.88666666667	26.3533333333333	17.0233333333333	69.2733333333333	54.16	16.27	1014.77333333333	23.76	16.865	56.435	48.745	0.58	1021.64	26.922	20.79	82.662	69.48	74.8	1013.686
1	13.62	23.18	5.8	7.27	69.02	56.21	80.23	8.49	1006.49	-0.24	2.29	1.72	11.29	25.14	30.98	19.79	20.85	80.72	71.25	89.63	6.55	1006.81	34.01	4.98	3.05	12.59	18.2433333333333	10.11	77.16	62.7733333333333	6.89	1018.13	23.36	16.0133333333333	72.3533333333333	58.92	-0.42	1013.92333333333	25.81	17.66	60.14	50.5	0.76	1011.3	26.294	20.818	87.63	80.732	134.98	1007.76
0	9.92	19.4	1.36	2.47	59.84	48.07	74.52	8.69	1017.52	0.2	2.29	1.88	8.92	20.97	26.39	16.53	16.89	82.59	70	92.4	9.29	1012.38	50.87	6.13	4.52	7.75	19.4866666666667	11.39	80.7833333333333	68.4966666666667	1.92	1014.81666666667	24.2833333333333	15.6133333333333	71.2666666666667	59.0966666666667	0.3	1014.59333333333	23.235	16.215	63.72	61.455	10.42	1014.565	28.298	22.294	87.762	79.832	167.39	1007.396
